LICEUL TEHNOLOGIC SEBES,./SpecPerLic.aspx?jud=1&Lic=11295272,Tehnologica,Tehnic,Industrie textilă şi pielărie,5.73
LICEUL TEHNOLOGIC SEBES,./SpecPerLic.aspx?jud=1&Lic=11295272,Tehnologica,Tehnic,Mecanică,5.83
LICEUL TEHNOLOGIC SILVIC CIMPENI,./SpecPerLic.aspx?jud=1&Lic=11295320,Tehnologica,Servicii,Economic,3.03
LICEUL TEHNOLOGIC SILVIC CIMPENI,./SpecPerLic.aspx?jud=1&Lic=11295320,Tehnologica,Tehnic,Mecanică,3.67
LICEUL TEHNOLOGIC SILVIC CIMPENI,./SpecPerLic.aspx?jud=1&Lic=11295320,Tehnologica,Resurse naturale si protectia mediului,Protecţia mediului,4.75
LICEUL TEHNOLOGIC SILVIC CIMPENI,./SpecPerLic.aspx?jud=1&Lic=11295320,Tehnologica,Resurse naturale si protectia mediului,Silvicultură,2.45
"LICEUL TEORETIC ""DAVID PRODAN"" CUGIR",./SpecPerLic.aspx?jud=1&Lic=11295257,Teoretica,Umanist,Filologie,5.59
"LICEUL TEORETIC ""DAVID PRODAN"" CUGIR",./SpecPerLic.aspx?jud=1&Lic=11295257,Teoretica,Real,Matematică-Informatică,8.5
"LICEUL TEORETIC ""DAVID PRODAN"" CUGIR",./SpecPerLic.aspx?jud=1&Lic=11295257,Teoretica,Real,Ştiinţe ale Naturii,6.78
"LICEUL TEORETIC ""PETRU MAIOR"" OCNA MURES",./SpecPerLic.aspx?jud=1&Lic=11295233,Teoretica,Umanist,Filologie,3.13
"LICEUL TEORETIC ""PETRU MAIOR"" OCNA MURES",./SpecPerLic.aspx?jud=1&Lic=11295233,Teoretica,Real,Matematică-Informatică,6.86
"LICEUL TEORETIC ""PETRU MAIOR"" OCNA MURES",./SpecPerLic.aspx?jud=1&Lic=11295233,Teoretica,Real,Ştiinţe ale Naturii,4.93
LICEUL TEORETIC TEIUS,./SpecPerLic.aspx?jud=1&Lic=11295193,Teoretica,Umanist,Filologie,5.29
LICEUL TEORETIC TEIUS,./SpecPerLic.aspx?jud=1&Lic=11295193,Teoretica,Real,Ştiinţe ale Naturii,5.08
"SEMINARUL TEOLOGIC ORTODOX ""SFANTUL SIMION STEFAN"" ALBA IULIA",./SpecPerLic.aspx?jud=1&Lic=11295284,Teoretica,Umanist,Filologie,7.41
"SEMINARUL TEOLOGIC ORTODOX ""SFANTUL SIMION STEFAN"" ALBA IULIA",./SpecPerLic.aspx?jud=1&Lic=11295284,Teoretica,Umanist,Ştiinţe Sociale,8.06
"COLEGIUL ECONOMIC ""MARIA TEIULEANU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11304992,Tehnologica,Servicii,Economic,7.53
"COLEGIUL ECONOMIC ""MARIA TEIULEANU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11304992,Tehnologica,Servicii,Turism şi alimentaţie,7.72
"COLEGIUL NAȚIONAL ""ALEXANDRU ODOBESCU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11304989,Teoretica,Umanist,Filologie,8.7
"COLEGIUL NAȚIONAL ""ALEXANDRU ODOBESCU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11304989,Teoretica,Umanist,Filologie,8.29
"COLEGIUL NAȚIONAL ""ALEXANDRU ODOBESCU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11304989,Teoretica,Real,Matematică-Informatică,8.64
"COLEGIUL NAȚIONAL ""ALEXANDRU ODOBESCU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11304989,Teoretica,Real,Ştiinţe ale Naturii,8.84
"COLEGIUL NAȚIONAL ""ALEXANDRU ODOBESCU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11304989,Teoretica,Real,Ştiinţe ale Naturii,8.86
"COLEGIUL NAȚIONAL ""ALEXANDRU ODOBESCU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11304989,Teoretica,Real,Ştiinţe ale Naturii,8.27
"COLEGIUL NAȚIONAL ""ALEXANDRU ODOBESCU"" PITEȘTI",./SpecPerLic.aspx?jud=2&Lic=11304989,Teoretica,Umanist,Ştiinţe Sociale,8.68
"COLEGIUL NAȚIONAL ""DINICU GOLESCU"" CÂMPULUNG",./SpecPerLic.aspx?jud=2&Lic=11305067,Teoretica,Umanist,Filologie,7.21
"COLEGIUL NAȚIONAL ""DINICU GOLESCU"" CÂMPULUNG",./SpecPerLic.aspx?jud=2&Lic=11305067,Teoretica,Real,Matematică-Informatică,7.71
"COLEGIUL NAȚIONAL ""DINICU GOLESCU"" CÂMPULUNG",./SpecPerLic.aspx?jud=2&Lic=11305067,Teoretica,Real,Ştiinţe ale Naturii,7.06
